,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Annihilator Bryan Gausszilla,Standard Armor,216,Biped,200, Fusion Engine,2844,10 Double,100,Standard,Annihilator,2,,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Endo-Steel,Clan,C 'Gausszilla',"['5', ['1 CLGaussRifle, Right Torso, Ammo:64', '1 CLGaussRifle, Left Torso', '1 CLGaussRifle, Left Arm', '1 CLGaussRifle, Right Arm', '1 CLGaussRifle, Right Torso']]"
Annihilator C,Standard Armor,256,Biped,300, Fusion Engine,2848,12 Double,100,Standard,Annihilator,2,TRO 3050 - Succession Wars,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Clan,C,"['7', ['1 CLUltraAC10, Right Arm, Ammo:80', '1 CLERMediumLaser, Right Arm', '1 CLUltraAC10, Left Arm', '1 CLERMediumLaser, Left Arm', '1 CLUltraAC10, Right Torso', '1 CLUltraAC10, Left Torso', '2 CLERMediumLaser, Center Torso']]"
Annihilator C2,Standard Armor,256,Biped,200, Fusion Engine,2850,11 Double,100,Standard,Annihilator,2,,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Endo-Steel,Clan,C 2,"['6', ['1 CLGaussRifle, Right Torso, Ammo:80', '1 CLGaussRifle, Left Torso', '1 CLGaussRifle, Left Arm', '1 CLGaussRifle, Right Arm', '1 CLERPPC, Center Torso', '1 CLERSmallLaser, Head']]"
Atlas AS7-K2 (Jedra),Ferro-Fibrous(Inner Sphere),295,Biped,400, XL Engine(IS),3082,12 Double,100,Standard,Atlas,2,DTP Vega,"{'Walk': 4, 'Run': 6, 'Jump': '0'}",Standard,Inner Sphere,AS7-K2 (Jedra),"['9', ['ER Medium Laser, Center Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Left Torso', 'Light Gauss Rifle, Left Arm', 'Light Gauss Rifle, Right Arm', 'SRM 4, Left Torso', 'SRM 4, Right Torso']]"
Atlas AS7-C,Standard Armor,304,Biped,300, XL Engine,3050,21 Single,100,Standard,Atlas,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Mixed (IS Chassis),AS7-C,"['7', ['1 ISGaussRifle, Right Torso, Ammo:16', '1 ISLRM20, Left Torso, Ammo:12', '1 ISERLargeLaser, Right Arm', '1 ISERLargeLaser, Left Arm', '1 ISMediumPulseLaser, Center Torso (R)', '1 ISAntiMissileSystem, Left Arm, Ammo:12', '1 ISC3SlaveUnit, Head']]"
Atlas AS7-K2,Ferro-Fibrous(Inner Sphere),295,Biped,400, XL Engine(IS),3082,10 Double,100,Standard,Atlas,2,Dark Age,"{'Walk': 4, 'Run': 6, 'Jump': '0'}",Standard,Inner Sphere,AS7-K2,"['5', ['ER Large Laser, Left Arm', 'ER Large Laser, Right Arm', 'Gauss Rifle, Left Torso', 'Streak SRM 6, Left Torso', 'Streak SRM 6, Right Torso']]"
Annihilator ANH-1X,Standard Armor,304,Biped,200, Fusion Engine,2779,10 Double,100,Standard,Annihilator,2,,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Standard,Inner Sphere,ANH-1X,"['11', ['1 ISLBXAC10, Right Torso, Ammo:60', '1 ISLBXAC10, Left Torso', '1 ISLBXAC10, Left Arm', '1 ISLBXAC10, Right Arm', '1 ISMediumLaser, Right Arm', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Center Torso', '1 ISMediumLaser, Center Torso', '1 ISSmallLaser, Head', '1 ISSmallPulseLaser, Right Arm', '1 ISSmallPulseLaser, Left Arm']]"
Atlas AS7-K-DC,Standard(Inner Sphere),304,Biped,300, XL Engine(IS),3050,20 Single,100,Standard,Atlas,3,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Standard,Inner Sphere,AS7-K-DC,"['6', ['Medium Pulse Laser, Center Torso', 'Gauss Rifle, Right Torso', 'ER Large Laser, Left Arm', 'ER Large Laser, Right Arm', 'AMS, Left Arm', 'LRM 20, Left Torso']]"
Atlas AS7-CM,Standard Armor,304,Biped,300, XL Engine,3050,20 Single,100,Standard,Atlas,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-CM,"['6', ['1 ISGaussRifle, Right Torso, Ammo:16', '1 ISLRM20, Left Torso, Ammo:12', '1 ISERLargeLaser, Right Arm', '2 ISMediumPulseLaser, Center Torso (R)', '1 ISAntiMissileSystem, Left Arm, Ammo:12', '1 ISC3MasterComputer, Left Arm']]"
Atlas AS7-K,Standard Armor,304,Biped,300, XL Engine,3049,20 Single,100,Standard,Atlas,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-K,"['6', ['1 ISGaussRifle, Right Torso, Ammo:16', '1 ISLRM20, Left Torso, Ammo:12', '1 ISERLargeLaser, Left Arm', '1 ISERLargeLaser, Right Arm', '2 ISMediumPulseLaser, Center Torso (R)', '1 ISAntiMissileSystem, Left Arm, Ammo:12']]"
Atlas AS7-D-DC,Standard(Inner Sphere),304,Biped,300, Fusion Engine(IS),2776,20 Single,100,Standard,Atlas,3,TRO 3039 - Star League,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-D-DC,"['5', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'LRM 20, Left Torso', 'SRM 6, Left Torso', 'Autocannon/20, Right Torso']]"
Annihilator ANH-1G,Standard Armor,296,Biped,200, Fusion Engine,2823,10 Double,100,Standard,Annihilator,2,,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Standard,Inner Sphere,ANH-1G,"['4', ['1 ISERPPC, Right Torso', '1 ISGaussRifle, Left Torso, Ammo:48', '1 ISGaussRifle, Right Arm', '1 ISGaussRifle, Left Arm']]"
Atlas AS7-S,Standard Armor,304,Biped,300, Fusion Engine,3050,15 Double,100,Standard,Atlas,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-S,"['7', ['1 ISAC20, Right Torso, Ammo:15', '1 ISLRM20, Left Torso, Ammo:12', '2 ISMediumLaser, Center Torso (R)', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Right Arm', '1 ISSRM6, Left Torso, Ammo:15', '2 ISStreakSRM2, Left Torso (R), Ammo:50']]"
Atlas AS7-D,Standard(Inner Sphere),304,Biped,300, Fusion Engine,2755,20 Single,100,Standard,Atlas,1,TRO 3039 - Star League,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-D,"['7', ['Medium Laser, Center Torso', 'Medium Laser, Center Torso', 'Autocannon/20, Right Torso', 'LRM 20, Left Torso', 'SRM 6, Left Torso', 'Medium Laser, Right Arm', 'Medium Laser, Left Arm']]"
Xanthos XNT-4O,Stealth(Inner Sphere),323,Quad,300, Compact Engine,3068,15 Double,100,Standard,Xanthos,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '3'}",Standard,Inner Sphere,XNT-4O,"['7', ['Light PPC, Right Torso', 'ER Medium Laser, Right Torso', 'Light PPC, Left Torso', 'ER Medium Laser, Head', 'ER Small Laser, Left Torso', 'ER Medium Laser, Left Torso', 'Heavy PPC, Center Torso']]"
Xanthos XNT-5O,Light Ferro-Fibrous(Inner Sphere),323,Quad,300, Compact Engine,3076,12 Double,100,Standard,Xanthos,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '5'}",Endo Steel,Inner Sphere,XNT-5O,"['7', ['Medium Pulse Laser, Head', 'Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'ER PPC, Center Torso', 'ER Small Laser, Center Torso']]"
Archangel C-ANG-O Berith,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3072,s Heat Sinks:12,100,Standard,Archangel,4,Starterbook: Wolf & Blake - Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Endo Steel,Inner Sphere,C-ANG-O (Berith),"['5', ['Light PPC, Left Arm', 'Light PPC, Left Arm', 'Heavy PPC, Right Arm', 'Medium VSP Laser, Center Torso', 'Snub-Nose PPC, Head']]"
Archangel C-ANG-O Invictus,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3069,s Heat Sinks:12,100,Standard,Archangel,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '3'}",IS Endo Steel,Inner Sphere,C-ANG-O Invictus,"['2', ['Heavy PPC, Right Arm', 'Plasma Rifle, Head']]"
Atlas II AS7-D-H2,Ferro-Fibrous(Inner Sphere),304,Biped,300, Fusion Engine,2780,13 Double,100,Standard,Atlas II,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-D-H2,"['6', ['ER PPC, Left Arm', 'Gauss Rifle, Right Arm', 'SRM 6, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'LRM 20, Right Torso']]"
Xanthos XNT-3O,Standard(Inner Sphere),323,Quad,300, Fusion Engine,2579,23 Single,100,Standard,Xanthos,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,XNT-3O,"['7', ['Particle Cannon, Left Torso', 'SRM 6, Left Torso', 'Medium Laser, Left Torso', 'Small Laser, Left Torso', 'Autocannon/20, Right Torso', 'Medium Laser, Right Torso', 'Medium Laser, Head']]"
Atlas II AS7-D-H,Ferro-Fibrous(Inner Sphere),304,Biped,300, Fusion Engine,2765,14 Double,100,Standard,Atlas II,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-D-H,"['7', ['ER Large Laser, Left Arm', 'ER Large Laser, Left Arm', 'LB 10-X AC, Right Arm', 'SRM 6, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'LRM 20, Right Torso']]"
Atlas C,Standard(IS/Clan),304,Biped,300, Fusion Engine(IS),3050,20 Single,100,Standard,Atlas,4,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Standard,Mixed (IS Chassis),C,"['7', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'LRM 20, Left Torso', 'Streak SRM 6, Left Torso', 'Ultra AC/20, Right Torso', 'Medium Laser, Center Torso', 'Medium Laser, Center Torso']]"
Archangel C-ANG-OB Infernus,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3069,s Heat Sinks:12,100,Standard,Archangel,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Endo Steel,Inner Sphere,C-ANG-OB Infernus,"['5', ['Light PPC, Left Arm', 'Light PPC, Left Arm', 'Heavy PPC, Right Arm', 'Snub-Nose PPC, Center Torso', 'Snub-Nose PPC, Head']]"
Atlas AS7-D(C),Standard Armor (Clan),304,Biped,300, Fusion Engine (Clan),3050,20 Single,100,Standard,Atlas,4,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Mixed (Clan Chassis),AS7-D(C),"['7', ['1 CLUltraAC20, Right Torso, Ammo:15', '1 CLLRM20, Left Torso, Ammo:12', '1 ISMediumLaser (R), Center Torso (R)', '1 ISMediumLaser, Right Arm', '1 ISMediumLaser (R), Center Torso (R)', '1 ISMediumLaser, Left Arm', '1 CLStreakSRM6, Left Torso, Ammo:15']]"
Atlas AS8-D,Standard(Inner Sphere),307,Biped,300, Fusion Engine(IS),3074,14 Double,100,Triple-Strength,Atlas,2,Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS8-D,"['10', ['Small Laser, Left Leg', 'Small Laser, Right Leg', 'Light PPC, Left Arm', 'Light PPC, Right Arm', 'Rotary AC/5, Left Torso', 'MML 9, Left Torso', 'ER Small Laser, Left Torso', 'MML 9, Right Torso', 'ER Small Laser, Right Torso', 'Snub-Nose PPC, Center Torso']]"
Atlas AS7-S3,Standard(Inner Sphere),304,Biped,300, Light Engine(IS),3062,14 Double,100,Standard,Atlas,2,TRO 3050 - Civil War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Standard,Inner Sphere,AS7-S3,"['8', ['Small Laser, Head', 'Small Laser, Left Arm', 'Small Laser, Right Arm', 'PPC, Left Arm', 'PPC, Right Arm', 'LRM 15, Left Torso', 'AMS, Left Arm', 'Gauss Rifle, Right Torso']]"
Atlas AS7-S2,Standard Armor,304,Biped,300, Light Engine,3061,16 Double,100,Standard,Atlas,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-S2,"['5', ['1 ISERLargeLaser, Right Arm', '1 ISERLargeLaser, Left Arm', '1 ISHeavyGaussRifle, Right Torso, Ammo:16', '1 ISLRM15, Left Torso, Ammo:16', '1 ISGuardianECM, Left Torso']]"
Atlas AS7-RS,Standard(Inner Sphere),304,Biped,300, Fusion Engine(IS),2892,20 Single,100,Standard,Atlas,1,TRO 3039 - Succession Wars,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,AS7-RS,"['5', ['Autocannon/10, Right Torso', 'LRM 15, Left Torso', 'SRM 4, Left Torso', 'Large Laser, Left Arm', 'Large Laser, Right Arm']]"
Atlas AS7-K3,Ferro-Fibrous(Inner Sphere),307,Biped,400, XL Engine(IS),3083,10 Double,100,Standard,Atlas,2,Dark Age,"{'Walk': 4, 'Run': 6, 'Jump': '3'}",Standard,Inner Sphere,AS7-K3,"['4', ['ER Large Laser, Left Arm', 'ER Large Laser, Right Arm', 'Gauss Rifle, Right Torso', 'Streak SRM 4, Right Torso']]"
Archangel C-ANG-OS Caelestis,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3075,s Heat Sinks:12,100,Standard,Archangel,4,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Endo Steel,Mixed (IS Chassis),C-ANG-OS Caelestis,"['9', ['ER Small Laser, Left Arm', 'ER Small Laser, Left Arm', 'Thunderbolt 10, Right Arm', 'Blazer Cannon, Left Torso', 'Blazer Cannon, Right Torso', 'ER Medium Laser, Center Torso', 'ER Medium Laser, Center Torso', 'ER Flamer, Head', 'ER Flamer, Head']]"
Archangel C-ANG-OE Eminus,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3072,s Heat Sinks:12,100,Standard,Archangel,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Endo Steel,Inner Sphere,C-ANG-OE Eminus,"['6', ['ER PPC, Left Arm', 'ER PPC, Right Arm', 'ER Small Laser, Left Torso', 'ER Small Laser, Right Torso', 'Light PPC, Center Torso', 'ER Large Laser, Head']]"
Annihilator ANH-1A,Standard Armor,200,Biped,200, Fusion Engine,3009,18 Single,100,Standard,Annihilator,1,TRO 3050 - Succession Wars,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Standard,Inner Sphere,ANH-1A,"['7', ['1 ISAC10, Left Torso', '1 ISAC10, Right Torso', '1 ISAC10, Left Arm', '1 ISAC10, Right Arm, Ammo:40', '2 ISMediumLaser, Center Torso', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Right Arm']]"
Archangel C-ANG-OA Dominus,Standard(Inner Sphere),307,Biped Omnimech,300, Compact Engine(IS),3069,s Heat Sinks:12,100,Standard,Archangel,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Endo Steel,Inner Sphere,C-ANG-OA Dominus,"['5', ['Heavy PPC, Left Arm', 'Heavy PPC, Right Arm', 'ER Medium Laser, Center Torso', 'ER Medium Laser, Center Torso', 'Snub-Nose PPC, Head']]"
Mackie MSK-5S,Primitive(Inner Sphere),214,Biped,360, Fusion Engine(IS),2439,17 Single,100,Standard,Mackie,4,XTRO Primitives I - Age of War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Standard,Inner Sphere,MSK-5S,"['3', ['PPC, Left Arm', 'AC/5, Right Arm', 'Large Laser, Center Torso']]"
Vanquisher VQR-7U,Standard Armor,304,Biped,300, Compact Fusion Engine,3071,16 Double,100,Triple Strength Myomer,Vanquisher,3,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo-Steel,Inner Sphere,VQR-7U,"['11', ['1 ISHeavyFlamer, Head, Ammo:10', '1 ISBeagleActiveProbe, Center Torso', '1 ISRemoteSensorDispenser, Left Torso', '1 ISImprovedC3CPU, Center Torso', '1 ISERFlamer, Right Arm', '1 ISERFlamer, Left Arm', '1 ISPlasmaRifle, Right Arm, Ammo:40', '1 ISPlasmaRifle, Left Arm', '1 ISSmallVSPLaser, Left Torso', '1 ISSmallVSPLaser, Left Torso', '1 ISSNPPC, Right Torso']]"
Kiso K-3N-KR5,Heavy Industrial(Inner Sphere),248,Quad,200, Fusion Engine,2703,10 Single,100,Standard,Kiso ConstructionMech,2,TRO 3075,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Industrial,Inner Sphere,K-3N-KR5,"['0', []]"
Kiso K-3N-KR4,Heavy Industrial(Inner Sphere),248,Quad,200, Fusion Engine,2703,10 Single,100,Standard,Kiso ConstructionMech,2,TRO 3075,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Industrial,Inner Sphere,K-3N-KR4,"['0', []]"
King Crab KGC-010,Standard(Inner Sphere),304,Biped,300, Fusion Engine,2743,10 Double,100,Standard,King Crab,2,TRO 3039 - Star League,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Inner Sphere,KGC-010,"['6', ['LB 10-X AC, Left Arm', 'LB 10-X AC, Right Arm', 'PPC, Left Torso', 'PPC, Right Torso', 'SRM 6, Left Torso', 'SRM 6, Right Torso']]"
King Crab KGC-008B,Standard(Inner Sphere),307,Biped,300, Fusion Engine(IS),3080,17 Double,100,Standard,King Crab,2,TRO 3050 - Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '3'}",IS Endo-Steel,Inner Sphere,KGC-008B,"['6', ['ER Medium Laser, Head', 'ER Medium Laser, Head', 'Heavy PPC, Right Arm', 'Heavy PPC, Left Arm', 'LAC/2, Left Torso', 'LAC/2, Right Torso']]"
King Crab KGC-008,Standard Armor,307,Biped,300, Fusion Engine,3069,17 Double,100,Standard,King Crab,2,TRO 3050 - Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '3'}",Endo-Steel,Inner Sphere,KGC-008,"['8', ['1 ISHeavyPPC, Right Arm', '1 ISHeavyPPC, Left Arm', '1 ISImprovedC3CPU, Right Torso', '1 ISERMediumLaser, Head', '1 ISERMediumLaser, Head', '1 ISLAC2, Right Torso, Ammo:45', '1 ISLAC2, Left Torso', '1 ISGuardianECM, Right Torso']]"
King Crab KGC-007,Light Ferro-Fibrous(Inner Sphere),305,Biped,300, Fusion Engine(IS),3071,11 Double,100,Standard,King Crab,2,TRO 3050 - Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Standard,Inner Sphere,KGC-007,"['6', ['Rotary AC/5, Left Arm', 'Light PPC, Left Arm', 'Rotary AC/5, Right Arm', 'Light PPC, Right Arm', 'Plasma Rifle, Left Torso', 'Streak SRM 6, Center Torso']]"
King Crab KGC-005r,Standard(Inner Sphere),288,Biped,300, Fusion Engine(IS),3071,12 Double,100,Standard,King Crab,2,Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Inner Sphere,KGC-005r,"['4', ['LB 20-X AC, Left Torso', 'LB 20-X AC, Right Torso', 'Streak SRM 4, Left Torso', 'Heavy PPC, Right Torso']]"
King Crab KGC-005,Standard Armor,296,Biped,300, Fusion Engine,3062,12 Double,100,Standard,King Crab,2,TRO 3050 - Civil War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Inner Sphere,KGC-005,"['5', ['1 ISLBXAC20, Right Arm, Ammo:30', '1 ISLBXAC20, Left Arm', '1 ISERLargeLaser, Right Torso', '2 ISStreakSRM4, Left Torso, Ammo:25', '1 ISImprovedC3CPU, Center Torso']]"
King Crab KGC-001,Ferro-Fibrous,295,Biped,300, XL Engine,3052,13 Single,100,Standard,King Crab,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,KGC-001,"['6', ['1 ISLRM15, Left Torso, Ammo:8', '1 ISLargePulseLaser, Right Torso', '1 ISGaussRifle, Left Arm', '1 ISGaussRifle, Right Arm, Ammo:32', '1 ISStreakSRM2, Left Torso', '1 ISStreakSRM2, Right Torso, Ammo:100']]"
King Crab KGC-000b,Ferro-Fibrous(Inner Sphere),286,Biped,300, Fusion Engine,2743,12 Double,100,Standard,King Crab,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,KGC-000b,"['4', ['Autocannon/20, Left Torso', 'Autocannon/20, Right Torso', 'LRM 15, Left Torso', 'Large Laser, Right Torso']]"
Kodiak,Standard(Clan),280,Biped,400, XL (Clan) Engine,3001,20 Double,100,Standard,Kodiak,2,TRO 3058 - Succession Wars,"{'Walk': 4, 'Run': 6, 'Jump': '0'}",Endo Steel,Clan,(Standard),"['12', ['ER Large Laser, Center Torso', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'Streak SRM 6, Left Torso', 'Streak SRM 6, Left Torso', 'Ultra AC/20, Right Torso']]"
King Crab KGC-0000,Standard(Inner Sphere),272,Biped,300, Fusion Engine,2815,15 Single,100,Standard,King Crab,1,TRO 3039 - Succession Wars,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,KGC-0000,"['4', ['Autocannon/20, Left Arm', 'Autocannon/20, Right Arm', 'Large Laser, Right Torso', 'LRM 15, Left Torso']]"
Jupiter 3,Standard(Clan),307,Biped,300, XL (Clan) Engine,3075,12 Double,100,Standard,Jupiter,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Clan,3,"['6', ['ER Medium Laser, Center Torso', 'ER Medium Laser, Center Torso', 'HAG/30, Left Torso', 'HAG/30, Right Torso', 'Ultra AC/10, Left Arm', 'Ultra AC/10, Right Arm']]"
Jupiter 2,Standard(Clan),307,Biped,300, XL (Clan) Engine,3070,17 Double,100,Standard,Jupiter,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '3'}",Endo Steel,Clan,2,"['6', ['Ultra AC/10, Left Arm', 'Ultra AC/10, Right Arm', 'ER PPC, Left Torso', 'LRM 15, Left Torso', 'ER PPC, Right Torso', 'LRM 15, Right Torso']]"
Jupiter,Standard(Clan),307,Biped,300, XL (Clan) Engine,3068,17 Double,100,Standard,Jupiter,2,TRO 3075,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Endo Steel,Clan,(Standard),"['8', ['Ultra AC/5, Left Arm', 'Ultra AC/5, Left Arm', 'Ultra AC/5, Right Arm', 'Ultra AC/5, Right Arm', 'ER PPC, Left Torso', 'ER PPC, Right Torso', 'LRM 15, Left Torso', 'LRM 15, Right Torso']]"
Imp IMP-4E,Standard Armor,296,Biped,300, Fusion Engine,3060,21 Double,100,Standard,Imp,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-4E,"['10', ['1 ISMediumPulseLaser, Center Torso', '1 ISMediumPulseLaser, Center Torso', '1 ISERMediumLaser, Right Arm', '1 ISERPPC, Right Torso', '1 ISERPPC, Left Torso', '1 ISLRM20, Right Arm, Ammo:12', '1 ISERMediumLaser, Left Arm', '1 ISERMediumLaser, Head', '1 ISERSmallLaser, Right Leg', '1 ISERSmallLaser, Left Leg']]"
Imp IMP-3E,Standard Armor,288,Biped,300, XL Engine,3050,30 Single,100,Standard,Imp,2,TRO 3050 - Clan Invasion,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-3E,"['6', ['1 ISERPPC, Left Torso', '1 ISERPPC, Right Torso', '1 ISLRM15, Right Arm, Ammo:16', '1 ISLargePulseLaser, Left Arm', '2 ISMediumPulseLaser, Center Torso', '2 ISMediumLaser, Right Torso']]"
Imp IMP-2E,Standard Armor,288,Biped,300, Fusion Engine,3005,30 Single,100,Standard,Imp,1,TRO 3050 - Succession Wars,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-2E,"['7', ['1 ISPPC, Left Torso', '1 ISPPC, Right Torso', '1 ISLRM15, Right Arm, Ammo:8', '2 ISMediumLaser, Center Torso', '1 ISMediumLaser, Left Torso', '1 ISMediumLaser, Right Torso', '1 ISMediumLaser, Left Arm']]"
Imp IMP-1C,Standard,304,Biped,300, Fusion Engine,2825,17 Double,100,Standard,Imp,2,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-1C,"['9', ['1 ISGaussRifle, Right Arm, Ammo:16', '2 ISMediumLaser, Left Arm', '1 ISERPPC, Right Torso', '1 ISMediumLaser, Right Torso', '1 ISGuardianECM, Right Torso', '1 ISERPPC, Left Torso', '1 ISMediumLaser, Left Torso', '2 ISMediumLaser, Center Torso', '1 ISSmallLaser, Head']]"
Imp IMP-1B,Standard Armor,304,Biped,300, Fusion Engine,2821,19 Double,100,Standard,Imp,2,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-1B,"['10', ['1 ISERPPC, Right Torso', '1 ISERPPC, Left Torso', '1 ISLRM20, Right Arm, Ammo:18', '1 ISMediumLaser, Center Torso', '1 ISMediumLaser, Left Torso', '1 ISMediumLaser, Center Torso', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Right Torso', '1 ISGuardianECM, Right Torso', '1 ISMediumPulseLaser, Head']]"
Imp IMP-1A,Standard Armor,304,Biped,300, Fusion Engine,2793,18 Double,100,Standard,Imp,2,,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,IMP-1A,"['9', ['1 ISSmallLaser, Head', '1 ISMediumPulseLaser, Left Torso', '1 ISMediumPulseLaser, Left Arm', '1 ISMediumPulseLaser, Center Torso', '1 ISMediumPulseLaser, Center Torso', '1 ISMediumPulseLaser, Right Torso', '1 ISERPPC, Right Torso', '1 ISERPPC, Left Torso', '1 ISLRM20, Right Arm, Ammo:12']]"
Imp C,Standard Armor,304,Biped,300, Fusion Engine,2863,25 Double,100,Standard,Imp,2,TRO 3050 - Succession Wars,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Clan,C,"['7', ['1 CLLRM20, Right Arm, Ammo:18', '1 CLMediumPulseLaser, Left Arm', '1 CLERPPC, Right Torso', '1 CLMediumPulseLaser, Right Torso', '1 CLERPPC, Left Torso', '1 CLMediumPulseLaser, Left Torso', '2 CLMediumPulseLaser, Center Torso']]"
King Crab KGC-000,Ferro-Fibrous,286,Biped,300, Fusion Engine,2743,15 Single,100,Standard,King Crab,2,TRO 3050 - Star League,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,KGC-000,"['4', ['1 ISAC20, Right Arm, Ammo:10', '1 ISAC20, Left Arm', '1 ISLRM15, Left Torso, Ammo:8', '1 ISLargeLaser, Right Torso']]"
